city,timestamp,temperature,season
New York,2010-01-01,-0.8546504890436886,winter
New York,2010-01-02,4.43575685604277,winter
New York,2010-01-03,-3.083048166743948,winter
New York,2010-01-04,-6.138637370604978,winter
New York,2010-01-05,-4.587641075394972,winter
New York,2010-01-06,9.250154291320957,winter
New York,2010-01-07,-1.8775333564249819,winter
New York,2010-01-08,-2.880546941872616,winter
New York,2010-01-09,-2.814928693884366,winter
New York,2010-01-10,2.650939483236361,winter
New York,2010-01-11,2.1530530479083927,winter
New York,2010-01-12,0.5149472378313285,winter
New York,2010-01-13,5.339512902580146,winter
New York,2010-01-14,-4.881841031038125,winter
New York,2010-01-15,3.0938009210926616,winter
New York,2010-01-16,-1.3393034000692152,winter
New York,2010-01-17,3.07259542451747,winter
New York,2010-01-18,1.4133171583648596,winter
New York,2010-01-19,2.7443952671184864,winter
New York,2010-01-20,-7.400890043263245,winter
New York,2010-01-21,1.405004840154203,winter
New York,2010-01-22,4.967298522239893,winter
New York,2010-01-23,-1.0562161695043706,winter
New York,2010-01-24,-2.6559597499550986,winter
New York,2010-01-25,4.237269499849157,winter
New York,2010-01-26,1.3019935401260692,winter
New York,2010-01-27,3.4672795451957628,winter
New York,2010-01-28,-2.936395770663676,winter
New York,2010-01-29,3.2296854372337864,winter
New York,2010-01-30,2.0704696599217427,winter
New York,2010-01-31,-4.243993957717275,winter
New York,2010-02-01,-7.177548685678551,winter
New York,2010-02-02,-1.606753616511503,winter
New York,2010-02-03,-8.759143305683537,winter
New York,2010-02-04,-3.4093863599219114,winter
New York,2010-02-05,8.559285441807887,winter
New York,2010-02-06,-0.8195381533566359,winter
New York,2010-02-07,-3.411300011871714,winter
New York,2010-02-08,1.345005565568196,winter
New York,2010-02-09,-6.935584234159827,winter
New York,2010-02-10,6.67961391736967,winter
New York,2010-02-11,2.8424306520702007,winter
New York,2010-02-12,-5.371568392767521,winter
New York,2010-02-13,0.60198800076732,winter
New York,2010-02-14,11.334041992584076,winter
New York,2010-02-15,-8.829416572109777,winter
New York,2010-02-16,-6.491488935911622,winter
New York,2010-02-17,-1.243527561182335,winter
New York,2010-02-18,-6.816063118406552,winter
New York,2010-02-19,-3.0791281732853255,winter
New York,2010-02-20,-3.6822335704593523,winter
New York,2010-02-21,-0.2245181773257659,winter
New York,2010-02-22,3.047670650685579,winter
New York,2010-02-23,0.9895651501117531,winter
New York,2010-02-24,2.831340749188407,winter
New York,2010-02-25,-5.463189795397247,winter
New York,2010-02-26,10.522649894215558,winter
New York,2010-02-27,3.9002035410846796,winter
New York,2010-02-28,-1.7171284762716459,winter
New York,2010-03-01,8.263322109929572,spring
New York,2010-03-02,10.271463861483113,spring
New York,2010-03-03,18.253491244465586,spring
New York,2010-03-04,7.80289361839295,spring
New York,2010-03-05,7.260680379264727,spring
New York,2010-03-06,5.040408073765866,spring
New York,2010-03-07,15.065847934215272,spring
New York,2010-03-08,4.976824064779953,spring
New York,2010-03-09,7.888995969710276,spring
New York,2010-03-10,6.767886444114568,spring
New York,2010-03-11,9.790722884560422,spring
New York,2010-03-12,10.135006610101657,spring
